x,y,z,field_value_v_m,limit_v_m,percentage_of_limit,status
-42.000000,-99.000000,1.500000,0.852735,58.336309,1.461758,COMPLIANT
-41.000000,-99.000000,1.500000,0.855609,58.336309,1.466683,COMPLIANT
-40.000000,-99.000000,1.500000,0.858442,58.336309,1.471539,COMPLIANT
-39.000000,-99.000000,1.500000,0.861231,58.336309,1.476322,COMPLIANT
-38.000000,-99.000000,1.500000,0.863977,58.336309,1.481028,COMPLIANT
-37.000000,-99.000000,1.500000,0.866677,58.336309,1.485656,COMPLIANT
-36.000000,-99.000000,1.500000,0.869329,58.336309,1.490202,COMPLIANT
-35.000000,-99.000000,1.500000,0.871932,58.336309,1.494664,COMPLIANT
-34.000000,-99.000000,1.500000,0.874484,58.336309,1.499039,COMPLIANT
-33.000000,-99.000000,1.500000,0.876984,58.336309,1.503324,COMPLIANT
-32.000000,-99.000000,1.500000,0.879430,58.336309,1.507517,COMPLIANT
-31.000000,-99.000000,1.500000,0.881820,58.336309,1.511614,COMPLIANT
-30.000000,-99.000000,1.500000,0.884153,58.336309,1.515613,COMPLIANT
-29.000000,-99.000000,1.500000,0.886427,58.336309,1.519512,COMPLIANT
-28.000000,-99.000000,1.500000,0.888641,58.336309,1.523307,COMPLIANT
-27.000000,-99.000000,1.500000,0.890793,58.336309,1.526996,COMPLIANT
-26.000000,-99.000000,1.500000,0.892882,58.336309,1.530576,COMPLIANT
-25.000000,-99.000000,1.500000,0.894905,58.336309,1.534045,COMPLIANT
-24.000000,-99.000000,1.500000,0.896863,58.336309,1.537400,COMPLIANT
-23.000000,-99.000000,1.500000,0.898752,58.336309,1.540639,COMPLIANT
-22.000000,-99.000000,1.500000,0.900573,58.336309,1.543760,COMPLIANT
-21.000000,-99.000000,1.500000,0.902322,58.336309,1.546759,COMPLIANT
-20.000000,-99.000000,1.500000,0.904000,58.336309,1.549636,COMPLIANT
-19.000000,-99.000000,1.500000,0.905605,58.336309,1.552387,COMPLIANT
-18.000000,-99.000000,1.500000,0.907136,58.336309,1.555011,COMPLIANT
-17.000000,-99.000000,1.500000,0.908591,58.336309,1.557505,COMPLIANT
-16.000000,-99.000000,1.500000,0.909969,58.336309,1.559867,COMPLIANT
-15.000000,-99.000000,1.500000,0.911269,58.336309,1.562096,COMPLIANT
-14.000000,-99.000000,1.500000,0.912491,58.336309,1.564190,COMPLIANT
-13.000000,-99.000000,1.500000,0.913633,58.336309,1.566148,COMPLIANT
-12.000000,-99.000000,1.500000,0.914694,58.336309,1.567967,COMPLIANT
-11.000000,-99.000000,1.500000,0.915673,58.336309,1.569645,COMPLIANT
-10.000000,-99.000000,1.500000,0.916570,58.336309,1.571183,COMPLIANT
-9.000000,-99.000000,1.500000,0.917384,58.336309,1.572578,COMPLIANT
-8.000000,-99.000000,1.500000,0.918114,58.336309,1.573830,COMPLIANT
-7.000000,-99.000000,1.500000,0.918760,58.336309,1.574936,COMPLIANT
-6.000000,-99.000000,1.500000,0.919320,58.336309,1.575897,COMPLIANT
-5.000000,-99.000000,1.500000,0.919795,58.336309,1.576712,COMPLIANT
-4.000000,-99.000000,1.500000,0.920185,58.336309,1.577379,COMPLIANT
-3.000000,-99.000000,1.500000,0.920488,58.336309,1.577899,COMPLIANT
-2.000000,-99.000000,1.500000,0.920705,58.336309,1.578270,COMPLIANT
-1.000000,-99.000000,1.500000,0.920835,58.336309,1.578493,COMPLIANT
0.000000,-99.000000,1.500000,0.920878,58.336309,1.578568,COMPLIANT
1.000000,-99.000000,1.500000,0.920835,58.336309,1.578493,COMPLIANT
2.000000,-99.000000,1.500000,0.920705,58.336309,1.578270,COMPLIANT
3.000000,-99.000000,1.500000,0.920488,58.336309,1.577899,COMPLIANT
4.000000,-99.000000,1.500000,0.920185,58.336309,1.577379,COMPLIANT
5.000000,-99.000000,1.500000,0.919795,58.336309,1.576712,COMPLIANT
6.000000,-99.000000,1.500000,0.919320,58.336309,1.575897,COMPLIANT
7.000000,-99.000000,1.500000,0.918760,58.336309,1.574936,COMPLIANT
8.000000,-99.000000,1.500000,0.918114,58.336309,1.573830,COMPLIANT
9.000000,-99.000000,1.500000,0.917384,58.336309,1.572578,COMPLIANT
10.000000,-99.000000,1.500000,0.916570,58.336309,1.571183,COMPLIANT
11.000000,-99.000000,1.500000,0.915673,58.336309,1.569645,COMPLIANT
12.000000,-99.000000,1.500000,0.914694,58.336309,1.567967,COMPLIANT
13.000000,-99.000000,1.500000,0.913633,58.336309,1.566148,COMPLIANT
14.000000,-99.000000,1.500000,0.912491,58.336309,1.564190,COMPLIANT
15.000000,-99.000000,1.500000,0.911269,58.336309,1.562096,COMPLIANT
16.000000,-99.000000,1.500000,0.909969,58.336309,1.559867,COMPLIANT
17.000000,-99.000000,1.500000,0.908591,58.336309,1.557505,COMPLIANT
18.000000,-99.000000,1.500000,0.907136,58.336309,1.555011,COMPLIANT
19.000000,-99.000000,1.500000,0.905605,58.336309,1.552387,COMPLIANT
20.000000,-99.000000,1.500000,0.904000,58.336309,1.549636,COMPLIANT
21.000000,-99.000000,1.500000,0.902322,58.336309,1.546759,COMPLIANT
22.000000,-99.000000,1.500000,0.900573,58.336309,1.543760,COMPLIANT
23.000000,-99.000000,1.500000,0.898752,58.336309,1.540639,COMPLIANT
24.000000,-99.000000,1.500000,0.896863,58.336309,1.537400,COMPLIANT
25.000000,-99.000000,1.500000,0.894905,58.336309,1.534045,COMPLIANT
26.000000,-99.000000,1.500000,0.892882,58.336309,1.530576,COMPLIANT
27.000000,-99.000000,1.500000,0.890793,58.336309,1.526996,COMPLIANT
28.000000,-99.000000,1.500000,0.888641,58.336309,1.523307,COMPLIANT
29.000000,-99.000000,1.500000,0.886427,58.336309,1.519512,COMPLIANT
30.000000,-99.000000,1.500000,0.884153,58.336309,1.515613,COMPLIANT
31.000000,-99.000000,1.500000,0.881820,58.336309,1.511614,COMPLIANT
32.000000,-99.000000,1.500000,0.879430,58.336309,1.507517,COMPLIANT
33.000000,-99.000000,1.500000,0.876984,58.336309,1.503324,COMPLIANT
34.000000,-99.000000,1.500000,0.874484,58.336309,1.499039,COMPLIANT
35.000000,-99.000000,1.500000,0.871932,58.336309,1.494664,COMPLIANT
36.000000,-99.000000,1.500000,0.869329,58.336309,1.490202,COMPLIANT
37.000000,-99.000000,1.500000,0.866677,58.336309,1.485656,COMPLIANT
38.000000,-99.000000,1.500000,0.863977,58.336309,1.481028,COMPLIANT
39.000000,-99.000000,1.500000,0.861231,58.336309,1.476322,COMPLIANT
40.000000,-99.000000,1.500000,0.858442,58.336309,1.471539,COMPLIANT
41.000000,-99.000000,1.500000,0.855609,58.336309,1.466683,COMPLIANT
42.000000,-99.000000,1.500000,0.852735,58.336309,1.461758,COMPLIANT
43.000000,-99.000000,1.500000,0.849822,58.336309,1.456764,COMPLIANT
44.000000,-99.000000,1.500000,0.846871,58.336309,1.451706,COMPLIANT
45.000000,-99.000000,1.500000,0.843884,58.336309,1.446585,COMPLIANT
46.000000,-99.000000,1.500000,0.840862,58.336309,1.441405,COMPLIANT
47.000000,-99.000000,1.500000,0.837808,58.336309,1.436168,COMPLIANT
